cweID,cweName,weaknessAbstraction,status,cweDescription
CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,Draft,"The program contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently."
CWE-369,Divide By Zero,Base,Draft,The product divides a value by zero.
CWE-400,Uncontrolled Resource Consumption,Class,Draft,"The software does not properly control the allocation and maintenance of a limited resource, thereby enabling an actor to influence the amount of resources consumed, eventually leading to the exhaustion of available resources."
CWE-401,Missing Release of Memory after Effective Lifetime,Variant,Draft,"The software does not sufficiently track and release allocated memory after it has been used, which slowly consumes remaining memory."
CWE-404,Improper Resource Shutdown or Release,Class,Draft,The program does not release or incorrectly releases a resource before it is made available for re-use.
CWE-407,Inefficient Algorithmic Complexity,Class,Incomplete,"An algorithm in a product has an inefficient worst-case computational complexity that may be detrimental to system performance and can be triggered by an attacker, typically using crafted manipulations that ensure that the worst case is being reached."
CWE-415,Double Free,Variant,Draft,"The product calls free() twice on the same memory address, potentially leading to modification of unexpected memory locations."
CWE-416,Use After Free,Variant,Stable,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code."
CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),Base,Incomplete,"When malformed or abnormal HTTP requests are interpreted by one or more entities in the data flow between the user and the web server, such as a proxy or firewall, they can be interpreted inconsistently, allowing the attacker to smuggle a request to one device without the other device being aware of it."
CWE-459,Incomplete Cleanup,Base,Draft,The software does not properly clean up and remove temporary or supporting resources after they have been used.
CWE-476,NULL Pointer Dereference,Base,Stable,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
CWE-502,Deserialization of Untrusted Data,Base,Draft,The application deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
CWE-532,Insertion of Sensitive Information into Log File,Base,Incomplete,Information written to log files can be of a sensitive nature and give valuable guidance to an attacker or expose sensitive user information.
CWE-552,Files or Directories Accessible to External Parties,Base,Draft,"The product makes files or directories accessible to unauthorized actors, even though they should not be."
CWE-601,URL Redirection to Untrusted Site ('Open Redirect'),Base,Draft,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks."
CWE-611,Improper Restriction of XML External Entity Reference,Base,Draft,"The software processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output."
CWE-665,Improper Initialization,Class,Draft,"The software does not initialize or incorrectly initializes a resource, which might leave the resource in an unexpected state when it is accessed or used."
CWE-668,Exposure of Resource to Wrong Sphere,Class,Draft,"The product exposes a resource to the wrong control sphere, providing unintended actors with inappropriate access to the resource."
CWE-787,Out-of-bounds Write,Base,Draft,"The software writes data past the end, or before the beginning, of the intended buffer."
CWE-908,Use of Uninitialized Resource,Base,Incomplete,The software uses or accesses a resource that has not been initialized.
CWE-918,Server-Side Request Forgery (SSRF),Base,Incomplete,"The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination."
CWE-1333,Inefficient Regular Expression Complexity,Base,Draft,"The product uses a regular expression with an inefficient, possibly exponential worst-case computational complexity that consumes excessive CPU cycles."
